"","ws_id","area","precip_mn","R_nexus","carbon_ha","awy_ha"
"1",1,866,1117.45285215367,0.94993810360877,2229.90545612009,7091.27553039471
"2",2,2538,1159.75510204082,0.987066794860856,2074.10145784082,6671.16981511031
"3",3,1868,1125.10575342466,0.894530412268806,2202.93080835118,7166.23632128491
"4",4,4881,1161.6265809662,0.935151462047964,2193.49006351158,6652.49166490274
"5",5,3749,1161.51130969003,0.937586585814428,2146.89237129901,6752.45003054505
"6",6,3604,1141.08216029876,0.94697535231664,2329.09544950055,6801.10837537608
"7",7,1848,1156.47873500545,0.935754678450158,2350.43695887446,6584.72036953148
"8",8,4850,1158.31772230246,0.895019004732815,2142.06969072165,6709.62920409419
"9",9,3166,1149.27714646465,0.966656377108403,2141.05116866709,6980.75576350555
"10",10,3978,1119.57972837022,0.917013882214996,2406.87380593263,7101.35717778669
"11",11,2387,1147.52916491817,0.930731209333171,2291.2237117721,7177.09158938684
"12",12,170,1160.12790697674,0.951477323475127,2255.9,6666.19962060712
"13",13,3670,1167.61305297652,0.991472170875202,2216.11485013624,6794.35591447767
"14",14,2034,1170.42906234659,0.900155938764816,2173.50393313668,6783.91449831828
"15",15,1,1160,0.911683940604822,3000,6604.77813985453
"16",16,3959,1167.88600628931,0.963095574001814,2170.12882040919,6780.05919200422
"17",17,216,1100.76344086022,0.980173593927926,2728.27459490741,6923.6686577048
"18",18,1,1097,0.971759005003484,2870,6741.76298194706
"19",19,975,1125.859375,0.955965271635386,2423.38564102564,7165.89452432883
"20",20,2307,1172.02035513209,0.881217188226692,2044.08972691808,6822.50668185182
"21",21,3575,1144.03449235049,0.925682110528747,2521.40447552448,7332.02191087662
"22",22,185,1165.54838709677,0.966100566036902,2312.03716216216,6616.21349445362
"23",23,1896,1173.56821917808,0.936647836179812,2181.08557489451,6863.23302071759
"24",24,2936,1173.52259599049,0.948160649373868,2085.19652588556,6807.8593601138
"25",25,2137,1156.90793799906,0.94270629215623,1930.15114646701,6555.91585476992
"26",26,3222,1171.69259374032,0.783322261009878,2050.47920546245,6786.30356129914
"27",27,1846,1159.92614555256,0.9624085924302,2184.20720476706,7021.59431510964
"28",28,1783,1174.4106034969,0.999151041294221,2637.31688166012,6801.984296057
"29",29,1,1173,0.915665907452853,2645.33325195312,6738.15830783434
"30",30,1541,1178.28359173127,0.953662149257133,2491.93608046723,6887.09607213464
"31",31,557,1152.73007246377,0.903166923536343,2509.72217235189,7465.02916435361
"32",32,1739,1145.30569948187,0.938245932846873,2431.10063254744,7326.6530018695
"33",33,1,1150,0.959536848958713,2666.66674804688,7337.13435367494
"34",34,1742,1154.97239792984,0.959434672297355,2417.97014925373,7361.82105246208
"35",35,3422,1177.70246478873,0.983469711405693,1786.39859731151,6818.40369505728
"36",36,1,1161,0.993606930869997,2683.33325195312,6639.10549003989
"37",37,1741,1162.69217491369,0.954936074466733,1627.49827685238,7395.98287486139
"38",38,5500,1169.14516715116,0.95730993564489,1823.77418181818,7740.39241256643
"39",39,1793,1170.06267487409,0.88828803169764,1870.81093139989,6805.00810113285
"40",40,352,1184.78125,0.963260001304901,2172.35422585227,6945.58376928782
"41",41,1,1187,0.876580877291347,1497.66662597656,6901.36437796003
"42",42,2953,1190.17819777253,0.930947252025252,2430.91483237386,6982.27661350917
"43",43,1640,1181.23951367781,0.996211507869279,2244.20320121951,6924.28135064383
"44",44,1553,1177.15057636888,0.853806180648477,2200.3792659369,6856.56899772498
"45",45,681,1187.04011887073,0.913356637615901,2326.57892804699,6937.06057847318
"46",46,3319,1157.68549905838,0.872352577777736,2493.6016872552,7440.94243917221
"47",47,2112,1180.93163602074,0.98640713315663,1519.95572916667,7363.93565037988
